2022 Buildings Blocks,,,,,,,,,,,
Template,Technology,Building Block ID Number,Technology Detail,Units,Detail,Comments,,Alignment with Ofgem Core Scenario Key Drivers,,Included in ESO Data,ESO Comments
Generation ,Non-renewable CHP,Gen_BB001,>=1MW,MW,Installed capacity,Non-renewable,,Distribution Thermal Generation (MW),,Y,
,,Gen_BB002,<1MW,MW,Installed capacity,Non-renewable excluding domestic Micro CHP,,,,Y,
,Micro CHP,Gen_BB003,Domestic (G98/G83),MW,Installed capacity,,,,,Y,
,"Renewable Engines (Landfill Gas, Sewage Gas, Biogas)",Gen_BB004,,MW,Installed capacity,"Reciprocating Engines, Gas Turbines, Includes Anaerobic Digestion",,,,Y,
,Non-renewable Engines (Diesel) (non CHP),Gen_BB005,,,,,,,,Y,
,Non-renewable Engines (Gas) (non CHP),Gen_BB006,,MW,Installed capacity,"Reciprocating Engines, Gas Turbines",,,,Y,
,Fuel Cells,Gen_BB007,,MW,Installed capacity,Hydrogen or Gas as fuel input,,,,Y,
,OCGTs (non CHP),Gen_BB008,,MW,Installed capacity,Open Cycle Gas Turbines,,,,Y,
,CCGTs (non CHP),Gen_BB009,,MW,Installed capacity,Combined Cycle Gas Turbines:,,,,Y,
,Biomass & Energy Crops (including CHP),Gen_BB010,Includes Biomass Conversions,MW,Installed capacity,,,,,Y,
,Waste Incineration (including CHP),Gen_BB011,,MW,Installed capacity,,,,,Y,
,Solar Generation,Gen_BB012,Large (G99),MW,Installed capacity,,,Solar Generation (MW),,Y,
,,Gen_BB013,Small (G98/G83),MW,Installed capacity,,,,,Y,
,Wind,Gen_BB014,Offshore Wind,MW,Installed capacity,,,Wind Generation (MW),,Y,
,,Gen_BB015,Onshore Wind >=1MW,,,,,,,Y,
,,Gen_BB016,Onshore Wind <1MW,MW,Installed capacity,,,,,Y,
,Marine,Gen_BB017,"Tidal Stream, Wave Power, Tidal Lagoon",MW,Installed capacity,,,Not mentioned in Ofgem Core Scenario BBs,,Y,
,Hydro,Gen_BB018,Not pumped hydro,MW,Installed capacity,,,Not mentioned in Ofgem Core Scenario BBs,,Y,
,Geothermal,Gen_BB019,,MW,Installed capacity,,,Not mentioned in Ofgem Core Scenario BBs,,Y,
,Nuclear,Gen_BB020,,MW,Installed capacity,,,Not mentioned in Ofgem Core Scenario BBs,,Y,
,Coal,Gen_BB021,COAL,MW,Installed capacity,Transmission connected coal fired generation,,,,Y,
